Collection Name,Collection Id,MMS Id,Title,Suppressed From Discovery,Uniform Resource Identifier,Permalink,Rep Label,File Label
Sidetrack Theatre Collection,81284603340002171,99245209220302171,Mesh 1980 6,No,http://hdl.handle.net/1959.14/94012,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209220302171,Mesh 1980 6,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209220402171,Loco 12,No,http://hdl.handle.net/1959.14/93881,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209220402171,Loco 12,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209220502171,Measure Slide 4,No,http://hdl.handle.net/1959.14/96185,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209220502171,Measure Slide 4,JPEG 2000 Image (53)
Sidetrack Theatre Collection,81284603340002171,99245209220602171,Adios Cha Cha Teachers' Kit,No,http://hdl.handle.net/1959.14/15625,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209220602171,Adios Cha Cha Teachers' Kit,Teachers' Kit
Sidetrack Theatre Collection,81284603340002171,99245209220702171,Drunken MediaRelease,No,http://hdl.handle.net/1959.14/95784,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209220702171,Drunken MediaRelease,Text
Sidetrack Theatre Collection,81284603340002171,99245209220802171,FXDownUnder Teachers Invite,No,http://hdl.handle.net/1959.14/93700,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209220802171,FXDownUnder Teachers Invite,Text
Sidetrack Theatre Collection,81284603340002171,99245209220902171,Whispers Photo 3,No,http://hdl.handle.net/1959.14/95301,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209220902171,Whispers Photo 3,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209221002171,Woman Enmore Floor Plan,No,http://hdl.handle.net/1959.14/97405,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209221002171,Woman Enmore Floor Plan,Other
Sidetrack Theatre Collection,81284603340002171,99245209221102171,Whispers Photo 5,No,http://hdl.handle.net/1959.14/95360,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209221102171,Whispers Photo 5,JPEG 2000 Image (52)
Sidetrack Theatre Collection,81284603340002171,99245209221202171,Measure Poster,No,http://hdl.handle.net/1959.14/96065,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209221202171,Measure Poster,Other (17)
Sidetrack Theatre Collection,81284603340002171,99245209221302171,Woman Photo 2,No,http://hdl.handle.net/1959.14/97548,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209221302171,Woman Photo 2,JPEG 2000 Image (51)
Sidetrack Theatre Collection,81284603340002171,99245209221402171,Loco Booklet,No,http://hdl.handle.net/1959.14/93751,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209221402171,Loco Booklet,Text
Sidetrack Theatre Collection,81284603340002171,99245209221502171,DownUnder Poster 1,No,http://hdl.handle.net/1959.14/69491,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209221502171,DownUnder Poster 1,Poster
Sidetrack Theatre Collection,81284603340002171,99245209221602171,Mesh 1982 Tour 15,No,http://hdl.handle.net/1959.14/94333,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209221602171,Mesh 1982 Tour 15,JPEG 2000 Image (50)
Sidetrack Theatre Collection,81284603340002171,99245209221702171,FXDownUnder Photo 4,No,http://hdl.handle.net/1959.14/93724,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209221702171,FXDownUnder Photo 4,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209221802171,Mesh 1980 9,No,http://hdl.handle.net/1959.14/94034,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209221802171,Mesh 1980 9,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209221902171,Adios Cha Cha Review,No,http://hdl.handle.net/1959.14/12565,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209221902171,Adios Cha Cha Review,Adobe Acrobat PDF
Sidetrack Theatre Collection,81284603340002171,99245209222002171,BookKeeper_2,No,http://hdl.handle.net/1959.14/100389,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209222002171,BookKeeper_2,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209222102171,Adios Cha Cha 8,No,http://hdl.handle.net/1959.14/12648,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209222102171,Adios Cha Cha 8,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209222202171,Pessoptimist Poster,No,http://hdl.handle.net/1959.14/97351,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209222202171,Pessoptimist Poster,Other (16)
Sidetrack Theatre Collection,81284603340002171,99245209222302171,Woman Enmore Poster,No,http://hdl.handle.net/1959.14/97438,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209222302171,Woman Enmore Poster,Other
Sidetrack Theatre Collection,81284603340002171,99245209222402171,Heaven 5,No,http://hdl.handle.net/1959.14/99796,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209222402171,Heaven 5,JPEG 2000 Image (49)
Sidetrack Theatre Collection,81284603340002171,99245209222502171,Woman Sidetrack Flyer,No,http://hdl.handle.net/1959.14/97500,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209222502171,Woman Sidetrack Flyer,Flyer
Sidetrack Theatre Collection,81284603340002171,99245209222602171,Out From Under Poster,No,http://hdl.handle.net/1959.14/94549,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209222602171,Out From Under Poster,Poster
Sidetrack Theatre Collection,81284603340002171,99245209222702171,Mesh 1980 4,No,http://hdl.handle.net/1959.14/94006,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209222702171,Mesh 1980 4,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209222802171,Woman StudioProgram,No,http://hdl.handle.net/1959.14/97521,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209222802171,Woman StudioProgram,Other (15)
Sidetrack Theatre Collection,81284603340002171,99245209222902171,DownUnder 8,No,http://hdl.handle.net/1959.14/93464,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209222902171,DownUnder 8,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209223002171,Mesh 1980 1,No,http://hdl.handle.net/1959.14/93985,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209223002171,Mesh 1980 1,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209223102171,Heaven Flyer,No,http://hdl.handle.net/1959.14/99808,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209223102171,Heaven Flyer,Flyer
Sidetrack Theatre Collection,81284603340002171,99245209223202171,Heaven_SydneyProgram,No,http://hdl.handle.net/1959.14/100350,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209223202171,Heaven_SydneyProgram,Other
Sidetrack Theatre Collection,81284603340002171,99245209223302171,Heaven PICA Promo,No,http://hdl.handle.net/1959.14/99811,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209223302171,Heaven PICA Promo,Other (14)
Sidetrack Theatre Collection,81284603340002171,99245209223402171,KIN PressKit,No,http://hdl.handle.net/1959.14/94902,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209223402171,KIN PressKit,Other
Sidetrack Theatre Collection,81284603340002171,99245209223502171,Woman Sidetrack Invitation,No,http://hdl.handle.net/1959.14/97512,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209223502171,Woman Sidetrack Invitation,Other
Sidetrack Theatre Collection,81284603340002171,99245209223602171,Woman Photo 15,No,http://hdl.handle.net/1959.14/97643,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209223602171,Woman Photo 15,JPEG 2000 Image (48)
Sidetrack Theatre Collection,81284603340002171,99245209223702171,Woman Photo 10,No,http://hdl.handle.net/1959.14/97608,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209223702171,Woman Photo 10,JPEG 2000 Image (47)
Sidetrack Theatre Collection,81284603340002171,99245209223802171,Measure Slide 5,No,http://hdl.handle.net/1959.14/96191,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209223802171,Measure Slide 5,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209223902171,Mesh 1982 Tour 16,No,http://hdl.handle.net/1959.14/94336,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209223902171,Mesh 1982 Tour 16,JPEG 2000 Image (46)
Sidetrack Theatre Collection,81284603340002171,99245209224002171,Refugee Flyer,No,http://hdl.handle.net/1959.14/94622,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209224002171,Refugee Flyer,Flyer (9)
Sidetrack Theatre Collection,81284603340002171,99245209224102171,KIN Photo 16,No,http://hdl.handle.net/1959.14/95489,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209224102171,KIN Photo 16,JPEG 2000 Image (45)
Sidetrack Theatre Collection,81284603340002171,99245209224202171,Heaven Slide 18,No,http://hdl.handle.net/1959.14/94858,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209224202171,Heaven Slide 18,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209224302171,Measure Info,No,http://hdl.handle.net/1959.14/96035,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209224302171,Measure Info,Other (13)
Sidetrack Theatre Collection,81284603340002171,99245209224402171,Adios Cha Cha and Sidetrack's Theatre for the people,No,http://hdl.handle.net/1959.14/15489,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209224402171,Adios Cha Cha and Sidetrack's Theatre for the people,Publisher version (open access) (2)
Sidetrack Theatre Collection,81284603340002171,99245209224502171,Adios Cha Cha 2,No,http://hdl.handle.net/1959.14/12569,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209224502171,Adios Cha Cha 2,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209224602171,Sawung Diagram 5,No,http://hdl.handle.net/1959.14/96404,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209224602171,Sawung Diagram 5,Other
Sidetrack Theatre Collection,81284603340002171,99245209224702171,Mesh 1982 Tour 17,No,http://hdl.handle.net/1959.14/94339,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209224702171,Mesh 1982 Tour 17,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209224802171,Mesh 1982 Tour 11,No,http://hdl.handle.net/1959.14/94311,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209224802171,Mesh 1982 Tour 11,JPEG 2000 Image (44)
Sidetrack Theatre Collection,81284603340002171,99245209224902171,Mesh 1982 Tour 7,No,http://hdl.handle.net/1959.14/94283,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209224902171,Mesh 1982 Tour 7,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209225002171,Woman Photo 24,No,http://hdl.handle.net/1959.14/97713,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209225002171,Woman Photo 24,JPEG 2000 Image (43)
Sidetrack Theatre Collection,81284603340002171,99245209225102171,Adios Cha Cha 12,No,http://hdl.handle.net/1959.14/15431,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209225102171,Adios Cha Cha 12,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209225202171,Out From Under 3,No,http://hdl.handle.net/1959.14/94579,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209225202171,Out From Under 3,JPEG 2000 Image (42)
Sidetrack Theatre Collection,81284603340002171,99245209225302171,Woman Photo 9,No,http://hdl.handle.net/1959.14/97605,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209225302171,Woman Photo 9,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209225402171,Woman Photo 13,No,http://hdl.handle.net/1959.14/97634,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209225402171,Woman Photo 13,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209225502171,BookKeeper_Postcard,No,http://hdl.handle.net/1959.14/100380,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209225502171,BookKeeper_Postcard,Other (12)
Sidetrack Theatre Collection,81284603340002171,99245209225602171,Adios Cha Cha 11,No,http://hdl.handle.net/1959.14/12756,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209225602171,Adios Cha Cha 11,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209225702171,Heaven Sydney Promo,No,http://hdl.handle.net/1959.14/99787,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209225702171,Heaven Sydney Promo,Other
Sidetrack Theatre Collection,81284603340002171,99245209225802171,Woman Enmore Lighting Cues,No,http://hdl.handle.net/1959.14/97416,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209225802171,Woman Enmore Lighting Cues,Other (11)
Sidetrack Theatre Collection,81284603340002171,99245209225902171,Loco 15,No,http://hdl.handle.net/1959.14/93890,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209225902171,Loco 15,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209226002171,Whispers Photo 6,No,http://hdl.handle.net/1959.14/95370,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209226002171,Whispers Photo 6,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209226102171,Loco 8,No,http://hdl.handle.net/1959.14/93843,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209226102171,Loco 8,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209226202171,FXDownUnder Program,No,http://hdl.handle.net/1959.14/93507,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209226202171,FXDownUnder Program,Text
Sidetrack Theatre Collection,81284603340002171,99245209226302171,Woman Photo 4,No,http://hdl.handle.net/1959.14/97559,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209226302171,Woman Photo 4,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209226402171,Loco 11,No,http://hdl.handle.net/1959.14/93852,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209226402171,Loco 11,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209226502171,Mesh 1982 Tour 12,No,http://hdl.handle.net/1959.14/94316,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209226502171,Mesh 1982 Tour 12,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209226602171,Adios Cha Cha 4,No,http://hdl.handle.net/1959.14/12611,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209226602171,Adios Cha Cha 4,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209226702171,Loco 4,No,http://hdl.handle.net/1959.14/93819,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209226702171,Loco 4,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209226802171,Out From Under Script,No,http://hdl.handle.net/1959.14/94560,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209226802171,Out From Under Script,Script
Sidetrack Theatre Collection,81284603340002171,99245209226902171,Measure Slide 23,No,http://hdl.handle.net/1959.14/96334,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209226902171,Measure Slide 23,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209227002171,Heaven 3,No,http://hdl.handle.net/1959.14/99793,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209227002171,Heaven 3,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209227102171,Whispers Press Release2,No,http://hdl.handle.net/1959.14/95220,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209227102171,Whispers Press Release2,Press Release
Sidetrack Theatre Collection,81284603340002171,99245209227202171,DownUnder 1,No,http://hdl.handle.net/1959.14/93422,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209227202171,DownUnder 1,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209227302171,DownUnder 10,No,http://hdl.handle.net/1959.14/93485,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209227302171,DownUnder 10,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209227402171,Woman Enmore Prodn Schedule,No,http://hdl.handle.net/1959.14/97441,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209227402171,Woman Enmore Prodn Schedule,Other
Sidetrack Theatre Collection,81284603340002171,99245209227502171,Mesh Script,No,http://hdl.handle.net/1959.14/93960,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209227502171,Mesh Script,Script
Sidetrack Theatre Collection,81284603340002171,99245209227602171,Sawung Photo 5,No,http://hdl.handle.net/1959.14/96459,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209227602171,Sawung Photo 5,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209227702171,FXDownUnder Flyer,No,http://hdl.handle.net/1959.14/93492,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209227702171,FXDownUnder Flyer,Flyer
Sidetrack Theatre Collection,81284603340002171,99245209227802171,Out From Under 4,No,http://hdl.handle.net/1959.14/94588,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209227802171,Out From Under 4,JPEG 2000 Image (41)
Sidetrack Theatre Collection,81284603340002171,99245209227902171,DownUnder 4,No,http://hdl.handle.net/1959.14/93441,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209227902171,DownUnder 4,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209228002171,Woman Photo 19,No,http://hdl.handle.net/1959.14/97671,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209228002171,Woman Photo 19,JPEG 2000 Image (39)
Sidetrack Theatre Collection,81284603340002171,99245209228102171,Pessoptimist MediaPack,No,http://hdl.handle.net/1959.14/97330,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209228102171,Pessoptimist MediaPack,Other
Sidetrack Theatre Collection,81284603340002171,99245209228202171,Sawung Photo 4,No,http://hdl.handle.net/1959.14/96439,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209228202171,Sawung Photo 4,JPEG 2000 Image (38)
Sidetrack Theatre Collection,81284603340002171,99245209228302171,Adios Cha Cha 7,No,http://hdl.handle.net/1959.14/12640,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209228302171,Adios Cha Cha 7,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209228402171,Idol Script,No,http://hdl.handle.net/1959.14/94506,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209228402171,Idol Script,Script
Sidetrack Theatre Collection,81284603340002171,99245209228502171,Adios Cha Cha Broadsheet,No,http://hdl.handle.net/1959.14/15653,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209228502171,Adios Cha Cha Broadsheet,Broadsheet
Sidetrack Theatre Collection,81284603340002171,99245209228602171,Heaven Slide 17,No,http://hdl.handle.net/1959.14/94852,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209228602171,Heaven Slide 17,JPEG 2000 Image (37)
Sidetrack Theatre Collection,81284603340002171,99245209228702171,Heaven 6,No,http://hdl.handle.net/1959.14/99799,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209228702171,Heaven 6,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209228802171,Loco Proposal,No,http://hdl.handle.net/1959.14/93770,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209228802171,Loco Proposal,Other
Sidetrack Theatre Collection,81284603340002171,99245209228902171,Woman Photo 8,No,http://hdl.handle.net/1959.14/97577,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209228902171,Woman Photo 8,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209229002171,Heaven Slide 3,No,http://hdl.handle.net/1959.14/94748,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209229002171,Heaven Slide 3,JPEG 2000 Image (36)
Sidetrack Theatre Collection,81284603340002171,99245209229102171,Heaven Slide 15,No,http://hdl.handle.net/1959.14/94846,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209229102171,Heaven Slide 15,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209229202171,Mesh 1982 Tour 9,No,http://hdl.handle.net/1959.14/94289,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209229202171,Mesh 1982 Tour 9,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209229302171,Measure Slide 16,No,http://hdl.handle.net/1959.14/96279,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209229302171,Measure Slide 16,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209229402171,Loco 3,No,http://hdl.handle.net/1959.14/93816,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209229402171,Loco 3,JPEG 2000 Image (35)
Sidetrack Theatre Collection,81284603340002171,99245209229502171,Mesh Northern Tour Press Release 1982,No,http://hdl.handle.net/1959.14/93957,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209229502171,Mesh Northern Tour Press Release 1982,Other
Sidetrack Theatre Collection,81284603340002171,99245209229602171,DownUnder 2,No,http://hdl.handle.net/1959.14/93425,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209229602171,DownUnder 2,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209229702171,Pessoptimist Program,No,http://hdl.handle.net/1959.14/97354,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209229702171,Pessoptimist Program,Other
Sidetrack Theatre Collection,81284603340002171,99245209229802171,Measure Info Sheet,No,http://hdl.handle.net/1959.14/96044,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209229802171,Measure Info Sheet,Other
Sidetrack Theatre Collection,81284603340002171,99245209229902171,Loco 5,No,http://hdl.handle.net/1959.14/93822,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209229902171,Loco 5,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209230002171,Adios Cha Cha Performance Space season flyer,No,http://hdl.handle.net/1959.14/15608,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209230002171,Adios Cha Cha Performance Space season flyer,Flyer (8)
Sidetrack Theatre Collection,81284603340002171,99245209230102171,Whispers Press Release 1,No,http://hdl.handle.net/1959.14/95217,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209230102171,Whispers Press Release 1,Press Release
Sidetrack Theatre Collection,81284603340002171,99245209230202171,Sawung Brief,No,http://hdl.handle.net/1959.14/96369,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209230202171,Sawung Brief,Other
Sidetrack Theatre Collection,81284603340002171,99245209230302171,Loco 14,No,http://hdl.handle.net/1959.14/93887,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209230302171,Loco 14,JPEG 2000 Image
Sidetrack Theatre Collection,81284603340002171,99245209230402171,Out From Under Booking Form,No,http://hdl.handle.net/1959.14/94308,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209230402171,Out From Under Booking Form,Other
Sidetrack Theatre Collection,81284603340002171,99245209230502171,Drunken Benefit Letter,No,http://hdl.handle.net/1959.14/95755,https://multisearch.mq.edu.au/permalink/61MACQUARIE_INST/1c87tk9/alma99245209230502171,Drunken Benefit Letter,Text
